Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2001-0051-IDN;2001-0546-IDN;37853.0;0.58;1.0;1.0;2001-02-04 00:00:00+00:00;2001-06-28 00:00:00+00:00;144.0
2001-0064-CHN;2001-0214-CHN;656224.0;1.0;0.58;1.0;2001-02-23 00:00:00+00:00;2001-05-23 00:00:00+00:00;89.0
2001-0064-CHN;2001-9218-CHN;656224.0;1.0;0.58;1.0;2001-02-23 00:00:00+00:00;2001-03-01 00:00:00+00:00;6.0
2001-0066-FRA;2001-0193-FRA;75152.0;1.0;0.41;1.0;2001-01-05 00:00:00+00:00;2001-03-21 00:00:00+00:00;75.0
2001-0082-ZWE;2001-9122-ZWE;17287.0;1.0;0.12;1.0;2001-02-01 00:00:00+00:00;2001-03-01 00:00:00+00:00;28.0
2001-0087-AUS;2001-0130-AUS;10579.0;0.01;0.98;0.98;2001-02-01 00:00:00+00:00;2001-03-08 00:00:00+00:00;35.0
2001-0093-VUT;2001-0143-VUT;4720.0;1.0;0.38;1.0;2001-02-28 00:00:00+00:00;2001-04-07 00:00:00+00:00;38.0
2001-0093-VUT;2001-0254-VUT;3049.0;0.65;1.0;1.0;2001-02-28 00:00:00+00:00;2001-06-08 00:00:00+00:00;100.0
2001-0102-USA;2001-0242-USA;175279.0;1.0;0.12;1.0;2001-02-24 00:00:00+00:00;2001-06-05 00:00:00+00:00;101.0
2001-0123-JPN;2001-0454-JPN;8314.0;0.94;0.25;0.94;2001-03-24 00:00:00+00:00;2001-08-21 00:00:00+00:00;150.0
2001-0143-VUT;2001-0254-VUT;3049.0;0.24;1.0;1.0;2001-04-07 00:00:00+00:00;2001-06-08 00:00:00+00:00;62.0
2001-0151-CHN;2001-0214-CHN;468714.0;1.0;0.42;1.0;2001-04-12 00:00:00+00:00;2001-05-23 00:00:00+00:00;41.0
2001-0151-CHN;2001-0360-CHN;468714.0;1.0;0.76;1.0;2001-04-12 00:00:00+00:00;2001-08-25 00:00:00+00:00;135.0
2001-0151-CHN;2001-0385-CHN;25857.0;0.06;1.0;1.0;2001-04-12 00:00:00+00:00;2001-07-02 00:00:00+00:00;81.0
