;Records;No records;Hazards;No hazards
2000-0721-IDN;"[""2000-0721-IDN""]";1;"[""ls""]";1
2000-0734-UGA;"[""2000-0734-UGA""]";1;"[""ew""]";1
2000-0763-PHL;"[""2000-0763-PHL""]";1;"[""ls""]";1
2000-0081-COL;"[""2000-0081-COL""]";1;"[""eq""]";1
2000-0733-ARG;"[""2000-0733-ARG""]";1;"[""fl""]";1
2000-0735-VEN;"[""2000-0735-VEN""]";1;"[""fl""]";1
2000-0749-PNG;"[""2000-0749-PNG""]";1;"[""eq"", ""ts""]";2
2000-0750-AUS;"[""2000-0750-AUS""]";1;"[""fl""]";1
2000-0741-LKA;"[""2000-0741-LKA""]";1;"[""fl""]";1
2000-0748-VNM;"[""2000-0748-VNM""]";1;"[""fl""]";1
2000-0753-MOZ;"[""2000-0753-MOZ""]";1;"[""ew""]";1
2000-0754-ZAF;"[""2000-0754-ZAF""]";1;"[""fl""]";1
2000-0742-GRC;"[""2000-0742-GRC""]";1;"[""fl""]";1
2000-0778-SOM;"[""2000-0778-SOM""]";1;"[""fl""]";1
2000-0752-ITA;"[""2000-0752-ITA""]";1;"[""fl""]";1
2000-0756-USA;"[""2000-0756-USA""]";1;"[""ew""]";1
2000-0774-MYS;"[""2000-0774-MYS""]";1;"[""fl""]";1
2000-0755-THA;"[""2000-0755-THA""]";1;"[""fl""]";1
2000-0776-ARG;"[""2000-0733-ARG"", ""2000-0776-ARG""]";2;"[""fl"", ""fl""]";2
2000-0769-AZE;"[""2000-0769-AZE""]";1;"[""eq""]";1
2000-0786-MOZ;"[""2000-0753-MOZ"", ""2000-0786-MOZ""]";2;"[""ew"", ""ew""]";2
2000-0807-MDA;"[""2000-0807-MDA""]";1;"[""ew""]";1
2000-0784-UKR;"[""2000-0784-UKR""]";1;"[""ew""]";1
2000-0770-IDN;"[""2000-0770-IDN""]";1;"[""fl""]";1
2000-0785-IND;"[""2000-0785-IND""]";1;"[""ew""]";1
2000-0862-IRN;"[""2000-0862-IRN""]";1;"[""fl""]";1
2000-0788-PHL;"[""2000-0788-PHL""]";1;"[""ew""]";1
2000-0842-GBR;"[""2000-0842-GBR""]";1;"[""ew""]";1
2000-0790-TZA;"[""2000-0790-TZA""]";1;"[""fl""]";1
2000-0815-MNG;"[""2000-0815-MNG""]";1;"[""ew""]";1
2000-0834-AZE;"[""2000-0834-AZE""]";1;"[""ls""]";1
2000-0797-HTI;"[""2000-0797-HTI""]";1;"[""fl""]";1
2000-0830-POL;"[""2000-0830-POL""]";1;"[""cw""]";1
2000-0792-FRA;"[""2000-0792-FRA""]";1;"[""fl""]";1
2000-0791-IDN;"[""2000-0721-IDN"", ""2000-0791-IDN""]";2;"[""ls"", ""fl"", ""ls""]";3
2000-0814-ESP;"[""2000-0814-ESP""]";1;"[""ew""]";1
2000-0813-PRT;"[""2000-0813-PRT""]";1;"[""ew""]";1
2000-0810-TKM;"[""2000-0810-TKM""]";1;"[""eq""]";1
2000-0806-FJI;"[""2000-0806-FJI""]";1;"[""fl""]";1
2000-0843-AUS;"[""2000-0843-AUS""]";1;"[""ew""]";1
2000-0861-ZAF;"[""2000-0754-ZAF"", ""2000-0861-ZAF""]";2;"[""fl"", ""fl""]";2
2000-0812-FRA;"[""2000-0812-FRA""]";1;"[""fl""]";1
2000-0937-USA;"[""2000-0937-USA""]";1;"[""ew""]";1
2000-0809-BRA;"[""2000-0809-BRA""]";1;"[""fl"", ""ls""]";2
